parameter_point,k,wq,phase,quantity,reference_value,production_value,absolute_difference,relative_difference,expected_numerical_tolerance,status,source_function,notes
A1,0.0,-0.5,3.141592653589793,r_emit,12.0,12.0,0.0,0.0,1e-07,PASS,archived CSV versus independent_reference,
A1,0.0,-0.5,3.141592653589793,p_r_emit,0.0,0.0,0.0,0.0,1e-07,PASS,archived CSV versus independent_reference,
A1,0.0,-0.5,3.141592653589793,t_emit,0.0,0.0,0.0,0.0,1e-07,PASS,archived CSV versus independent_reference,
A1,0.0,-0.5,3.141592653589793,tau_emit,0.0,0.0,0.0,0.0,1e-07,PASS,archived CSV versus independent_reference,
A1,0.0,-0.5,3.141592653589793,emitter_energy,0.9563650695950076,0.9563650695950076,0.0,0.0,1e-07,PASS,archived CSV versus independent_reference,
A1,0.0,-0.5,3.141592653589793,emitter_angular_momentum,3.7481702853265464,3.7481702853265455,8.881784197001252e-16,2.3696319859777817e-16,1e-07,PASS,archived CSV versus independent_reference,
A1,0.0,-0.5,3.141592653589793,alpha_launch,2.939190288802952,2.9391902888030303,7.815970093361102e-14,2.6592256116034306e-14,1e-07,PASS,archived CSV versus independent_reference,raw launch angles have equivalent periodic parameterizations
A1,0.0,-0.5,3.141592653589793,beta_launch,-1.5797983004071954,-1.5797983004072007,5.329070518200751e-15,3.3732600654318705e-15,1e-07,PASS,archived CSV versus independent_reference,raw launch angles have equivalent periodic parameterizations
A1,0.0,-0.5,3.141592653589793,x_hit,-6.326217327767836e-12,-5.895284260759581e-12,4.309330670082545e-13,0.06811859989645762,1e-07,PASS,archived CSV versus independent_reference,
A1,0.0,-0.5,3.141592653589793,y_hit,1.3594472769717925e-12,1.3294296219434898e-12,3.001765502830267e-14,0.022080779105437508,1e-07,PASS,archived CSV versus independent_reference,
A1,0.0,-0.5,3.141592653589793,z_hit,-79.99999999999999,-80.0,1.4210854715202004e-14,1.7763568394002506e-16,1e-07,PASS,archived CSV versus independent_reference,
A1,0.0,-0.5,3.141592653589793,hit_error,6.470635407517259e-12,6.043323558677001e-12,4.273118488402576e-13,0.06603862247343255,1e-07,PASS,archived CSV versus independent_reference,
A1,0.0,-0.5,3.141592653589793,impact_parameter,10.384586688878427,10.384586688878384,4.263256414560601e-14,4.10536937317536e-15,1e-07,PASS,archived CSV versus independent_reference,
A1,0.0,-0.5,3.141592653589793,impact_parameter_drift,1.3447021274259896e-12,1.3411494137471889e-12,3.552713678800703e-15,0.002642007926023928,1e-07,PASS,archived CSV versus independent_reference,
A1,0.0,-0.5,3.141592653589793,alpha_sky,-0.12660224057859387,-0.1266022405785931,7.771561172376096e-16,6.138565270929435e-15,1e-07,PASS,archived CSV versus independent_reference,
A1,0.0,-0.5,3.141592653589793,beta_sky,0.02598034205396479,0.0259803420539647,9.020562075079397e-17,3.4720720983359003e-15,1e-07,PASS,archived CSV versus independent_reference,
A1,0.0,-0.5,3.141592653589793,propagation_time,77.06548026348193,77.06548026348186,7.105427357601002e-14,9.219987124336345e-16,1e-07,PASS,archived CSV versus independent_reference,
A1,0.0,-0.5,3.141592653589793,euclidean_distance,72.89414068670325,72.89414068670325,0.0,0.0,1e-07,PASS,archived CSV versus independent_reference,
A1,0.0,-0.5,3.141592653589793,excess_time_delay,4.171339576778678,4.171339576778607,7.105427357601002e-14,1.703392214135723e-14,1e-07,PASS,archived CSV versus independent_reference,
A1,0.0,-0.5,3.141592653589793,one_plus_z,1.029302599817455,1.0293025998174556,6.661338147750939e-16,6.471700497921905e-16,1e-07,PASS,archived CSV versus independent_reference,
A1,0.0,-0.5,3.141592653589793,redshift,0.029302599817454977,0.0293025998174556,6.210310043996969e-16,2.1193716880703123e-14,1e-07,PASS,archived CSV versus independent_reference,
A1,0.0,-0.5,3.141592653589793,null_constraint_error,1.143092565047965e-12,1.1434082847205929e-12,3.157196726277789e-16,0.00027612155416989063,1e-07,PASS,archived CSV versus independent_reference,
A1,0.0,-0.5,3.141592653589793,launch_direction_difference,0.0,5.3750571755155316e-15,5.3750571755155316e-15,5.3750571755155316e-15,1e-07,PASS,angle-to-unit-vector comparison,invariant to equivalent angle branches
A1,0.0,-0.5,4.71238898038469,r_emit,10.751456069158118,10.751456069120858,3.7260861063259654e-11,3.4656571931821443e-12,1e-07,PASS,archived CSV versus independent_reference,
A1,0.0,-0.5,4.71238898038469,p_r_emit,-0.051068421733491756,-0.0510684217332436,2.481556626854342e-13,4.8592780873564466e-12,1e-07,PASS,archived CSV versus independent_reference,
A1,0.0,-0.5,4.71238898038469,t_emit,64.70293858369108,64.70293858360098,9.00968188943807e-11,1.3924687327430035e-12,1e-07,PASS,archived CSV versus independent_reference,
A1,0.0,-0.5,4.71238898038469,tau_emit,55.94793919768013,55.94793919759458,8.554934538551606e-11,1.5290884099098927e-12,1e-07,PASS,archived CSV versus independent_reference,
A1,0.0,-0.5,4.71238898038469,emitter_energy,0.9563650695950076,0.9563650695950076,0.0,0.0,1e-07,PASS,archived CSV versus independent_reference,
A1,0.0,-0.5,4.71238898038469,emitter_angular_momentum,3.7481702853265464,3.7481702853265455,8.881784197001252e-16,2.3696319859777817e-16,1e-07,PASS,archived CSV versus independent_reference,
A1,0.0,-0.5,4.71238898038469,alpha_launch,-2.0376910587300983,1.1039015945200348,3.1415926532501333,1.5417413939127718,1e-07,WARNING,archived CSV versus independent_reference,raw launch angles have equivalent periodic parameterizations
A1,0.0,-0.5,4.71238898038469,beta_launch,-1.5197459113957428,-1.6218467421890774,0.10210083079333465,0.0629534395189059,1e-07,WARNING,archived CSV versus independent_reference,raw launch angles have equivalent periodic parameterizations
A1,0.0,-0.5,4.71238898038469,x_hit,-1.3072876114961218e-12,-1.029593771351145e-09,1.0282864837396488e-09,0.9987302879564038,1e-07,PASS,archived CSV versus independent_reference,
A1,0.0,-0.5,4.71238898038469,y_hit,-4.312106227644108e-13,1.0942479145015227e-09,1.0946791251242871e-09,1.0003940703172012,1e-07,PASS,archived CSV versus independent_reference,
A1,0.0,-0.5,4.71238898038469,z_hit,-79.99999999999999,-79.99999999999999,0.0,0.0,1e-07,PASS,archived CSV versus independent_reference,
A1,0.0,-0.5,4.71238898038469,hit_error,1.376569468045876e-12,1.5024785630404202e-09,1.5011019935723744e-09,0.9990838009260776,1e-07,PASS,archived CSV versus independent_reference,
A1,0.0,-0.5,4.71238898038469,impact_parameter,11.303157963613643,11.303157963596718,1.6925127965805586e-11,1.4973804683867824e-12,1e-07,PASS,archived CSV versus independent_reference,
A1,0.0,-0.5,4.71238898038469,impact_parameter_drift,1.2594369991347776e-12,1.2683187833317788e-12,8.881784197001252e-15,0.0070028011204481795,1e-07,PASS,archived CSV versus independent_reference,
A1,0.0,-0.5,4.71238898038469,alpha_sky,0.06341679399341572,0.0634167939926243,7.914224831040428e-13,1.247969872438226e-11,1e-07,PASS,archived CSV versus independent_reference,
A1,0.0,-0.5,4.71238898038469,beta_sky,0.12581061718446598,0.1258106171846247,1.5870638137016613e-13,1.2614704936807323e-12,1e-07,PASS,archived CSV versus independent_reference,
A1,0.0,-0.5,4.71238898038469,propagation_time,82.08564380443772,82.08564380452532,8.759570846450515e-11,1.06712580184059e-12,1e-07,PASS,archived CSV versus independent_reference,
A1,0.0,-0.5,4.71238898038469,euclidean_distance,77.46951566128668,77.46951566129303,6.352252057695296e-12,8.199679581666913e-14,1e-07,PASS,archived CSV versus independent_reference,
A1,0.0,-0.5,4.71238898038469,excess_time_delay,4.616128143151045,4.616128143232288,8.124345640680986e-11,1.7599913582538e-11,1e-07,PASS,archived CSV versus independent_reference,
A1,0.0,-0.5,4.71238898038469,one_plus_z,1.4191505631310626,1.4191505631280437,3.0189184485607257e-12,2.127271430523979e-12,1e-07,PASS,archived CSV versus independent_reference,
A1,0.0,-0.5,4.71238898038469,redshift,0.4191505631310626,0.4191505631280436,3.018973959711957e-12,7.202600271272845e-12,1e-07,PASS,archived CSV versus independent_reference,
A1,0.0,-0.5,4.71238898038469,null_constraint_error,1.1910125663483484e-12,1.195599175218831e-12,4.586608870482678e-15,0.003836242919491132,1e-07,PASS,archived CSV versus independent_reference,
A1,0.0,-0.5,4.71238898038469,launch_direction_difference,0.0,1.803159520712231e-11,1.803159520712231e-11,1.803159520712231e-11,1e-07,PASS,angle-to-unit-vector comparison,invariant to equivalent angle branches
A1,0.0,-0.5,6.283185307179586,r_emit,8.905258956685069,8.905258956681742,3.327116360196669e-12,3.7361253349056667e-13,1e-07,PASS,archived CSV versus independent_reference,
A1,0.0,-0.5,6.283185307179586,p_r_emit,-0.05553878844845753,-0.0555387884495113,1.0537751227168712e-12,1.8973678615168703e-11,1e-07,PASS,archived CSV versus independent_reference,
A1,0.0,-0.5,6.283185307179586,t_emit,112.97576216180532,112.97576216197912,1.737987531669205e-10,1.5383720352135032e-12,1e-07,PASS,archived CSV versus independent_reference,
A1,0.0,-0.5,6.283185307179586,tau_emit,96.11997530098226,96.11997530113874,1.5647572126908926e-10,1.6279209475331137e-12,1e-07,PASS,archived CSV versus independent_reference,
A1,0.0,-0.5,6.283185307179586,emitter_energy,0.9563650695950076,0.9563650695950076,0.0,0.0,1e-07,PASS,archived CSV versus independent_reference,
A1,0.0,-0.5,6.283185307179586,emitter_angular_momentum,3.7481702853265464,3.7481702853265455,8.881784197001252e-16,2.3696319859777817e-16,1e-07,PASS,archived CSV versus independent_reference,
A1,0.0,-0.5,6.283185307179586,alpha_launch,-3.3439950183767166,-0.2024023647869232,3.1415926535897936,0.9394728868689596,1e-07,WARNING,archived CSV versus independent_reference,raw launch angles have equivalent periodic parameterizations
A1,0.0,-0.5,6.283185307179586,beta_launch,-1.282265330555011,-1.8593273230349536,0.5770619924799427,0.31036062630328726,1e-07,WARNING,archived CSV versus independent_reference,raw launch angles have equivalent periodic parameterizations
A1,0.0,-0.5,6.283185307179586,x_hit,4.0190073491430667e-14,-7.444045380111676e-14,1.1463052729254741e-13,1.5398956002982847,1e-07,PASS,archived CSV versus independent_reference,
A1,0.0,-0.5,6.283185307179586,y_hit,-1.3183898417423734e-15,1.314226505400029e-14,1.4460654895742664e-14,1.1003167898627244,1e-07,PASS,archived CSV versus independent_reference,
A1,0.0,-0.5,6.283185307179586,z_hit,-80.0,-79.99999999999999,1.4210854715202004e-14,1.7763568394002506e-16,1e-07,PASS,archived CSV versus independent_reference,
A1,0.0,-0.5,6.283185307179586,hit_error,4.021169181993475e-14,7.559166814448399e-14,3.5379976324549236e-14,0.46804068745942806,1e-07,PASS,archived CSV versus independent_reference,
A1,0.0,-0.5,6.283185307179586,impact_parameter,9.454482803966867,9.45448280396447,2.396305376350938e-12,2.5345705587887977e-13,1e-07,PASS,archived CSV versus independent_reference,
A1,0.0,-0.5,6.283185307179586,impact_parameter_drift,8.684608587827825e-12,8.704148513061227e-12,1.9539925233402755e-14,0.0022448979591836735,1e-07,PASS,archived CSV versus independent_reference,
A1,0.0,-0.5,6.283185307179586,alpha_sky,0.11509864661822854,0.1150986466181984,3.0142555118573e-14,2.618845312625877e-13,1e-07,PASS,archived CSV versus independent_reference,
A1,0.0,-0.5,6.283185307179586,beta_sky,-0.023619662617531845,-0.0236196626175256,6.2450045135165055e-15,2.6439854855848414e-13,1e-07,PASS,archived CSV versus independent_reference,
A1,0.0,-0.5,6.283185307179586,propagation_time,92.75042274946374,92.75042274946168,2.0605739337042905e-12,2.2216329291245244e-14,1e-07,PASS,archived CSV versus independent_reference,
A1,0.0,-0.5,6.283185307179586,euclidean_distance,85.97919726821014,85.97919726820781,2.3305801732931286e-12,2.7106326266607688e-14,1e-07,PASS,archived CSV versus independent_reference,
A1,0.0,-0.5,6.283185307179586,excess_time_delay,6.771225481253595,6.771225481253879,2.8421709430404007e-13,4.1974247511162406e-14,1e-07,PASS,archived CSV versus independent_reference,
A1,0.0,-0.5,6.283185307179586,one_plus_z,1.370144214009483,1.3701442140093392,1.438849039914203e-13,1.0501442294922133e-13,1e-07,PASS,archived CSV versus independent_reference,
A1,0.0,-0.5,6.283185307179586,redshift,0.37014421400948305,0.3701442140093391,1.4394041514265155e-13,3.888765775465122e-13,1e-07,PASS,archived CSV versus independent_reference,
A1,0.0,-0.5,6.283185307179586,null_constraint_error,4.708768097660965e-12,4.7157486249282946e-12,6.980527267329864e-15,0.001480258559675879,1e-07,PASS,archived CSV versus independent_reference,
A1,0.0,-0.5,6.283185307179586,launch_direction_difference,0.0,1.712892967822615e-13,1.712892967822615e-13,1.712892967822615e-13,1e-07,PASS,angle-to-unit-vector comparison,invariant to equivalent angle branches
A1,0.0,-0.5,7.853981633974483,r_emit,8.04109616580456,8.041096165782546,2.2014390310687304e-11,2.7377349874641913e-12,1e-07,PASS,archived CSV versus independent_reference,
A1,0.0,-0.5,7.853981633974483,p_r_emit,-0.014774956111321031,-0.0147749561112584,6.263045637666664e-14,4.238960569817006e-12,1e-07,PASS,archived CSV versus independent_reference,
A1,0.0,-0.5,7.853981633974483,t_emit,149.96020824591912,149.96020824587896,4.015987542516086e-11,2.6780354531985477e-13,1e-07,PASS,archived CSV versus independent_reference,
A1,0.0,-0.5,7.853981633974483,tau_emit,125.5664784371824,125.56647843714296,3.943512183468556e-11,3.140577192695096e-13,1e-07,PASS,archived CSV versus independent_reference,
A1,0.0,-0.5,7.853981633974483,emitter_energy,0.9563650695950076,0.9563650695950076,0.0,0.0,1e-07,PASS,archived CSV versus independent_reference,
A1,0.0,-0.5,7.853981633974483,emitter_angular_momentum,3.7481702853265464,3.7481702853265455,8.881784197001252e-16,2.3696319859777817e-16,1e-07,PASS,archived CSV versus independent_reference,
A1,0.0,-0.5,7.853981633974483,alpha_launch,1.1039015948599258,-2.0376910587062262,3.141592653566152,1.5417413940859201,1e-07,WARNING,archived CSV versus independent_reference,raw launch angles have equivalent periodic parameterizations
A1,0.0,-0.5,7.853981633974483,beta_launch,-1.3391386149944484,-1.8024540385924992,0.4633154235980508,0.25704701128459545,1e-07,WARNING,archived CSV versus independent_reference,raw launch angles have equivalent periodic parameterizations
A1,0.0,-0.5,7.853981633974483,x_hit,2.8296809340133677e-13,-5.539280700794791e-10,5.542110381728804e-10,1.0005108390577873,1e-07,PASS,archived CSV versus independent_reference,
A1,0.0,-0.5,7.853981633974483,y_hit,4.533040609544514e-13,-1.7603907220831158e-10,1.7649237626926603e-10,1.0025750195980245,1e-07,PASS,archived CSV versus independent_reference,
A1,0.0,-0.5,7.853981633974483,z_hit,-79.99999999999999,-80.0,1.4210854715202004e-14,1.7763568394002506e-16,1e-07,PASS,archived CSV versus independent_reference,
A1,0.0,-0.5,7.853981633974483,hit_error,5.34373945436138e-13,5.812280634707337e-10,5.806936895252976e-10,0.999080612277657,1e-07,PASS,archived CSV versus independent_reference,
A1,0.0,-0.5,7.853981633974483,impact_parameter,9.259176729711058,9.259176729688496,2.256150821722258e-11,2.4366646059175755e-12,1e-07,PASS,archived CSV versus independent_reference,
A1,0.0,-0.5,7.853981633974483,impact_parameter_drift,3.213429522475053e-12,3.209876808796253e-12,3.552713678800097e-15,0.0011055831951353083,1e-07,PASS,archived CSV versus independent_reference,
A1,0.0,-0.5,7.853981633974483,alpha_sky,-0.051780174160023576,-0.0517801741597287,2.948752353404416e-13,5.694751709971988e-12,1e-07,PASS,archived CSV versus independent_reference,
A1,0.0,-0.5,7.853981633974483,beta_sky,-0.10272508682271148,-0.102725086822542,1.6947554470903015e-13,1.6497970452098058e-12,1e-07,PASS,archived CSV versus independent_reference,
A1,0.0,-0.5,7.853981633974483,propagation_time,88.81221878427519,88.81221878432059,4.54036808150704e-11,5.112323668585816e-13,1e-07,PASS,archived CSV versus independent_reference,
A1,0.0,-0.5,7.853981633974483,euclidean_distance,82.75949840894829,82.75949840893979,8.498091119690798e-12,1.0268417865099035e-13,1e-07,PASS,archived CSV versus independent_reference,
A1,0.0,-0.5,7.853981633974483,excess_time_delay,6.052720375326899,6.052720375380801,5.39017719347612e-11,8.90537949745779e-12,1e-07,PASS,archived CSV versus independent_reference,
A1,0.0,-0.5,7.853981633974483,one_plus_z,0.9001562295383876,0.9001562295405506,2.1630475188771925e-12,2.4029690045929418e-12,1e-07,PASS,archived CSV versus independent_reference,
A1,0.0,-0.5,7.853981633974483,redshift,-0.09984377046161241,-0.0998437704594493,2.1631169078162316e-12,2.166501623301475e-11,1e-07,PASS,archived CSV versus independent_reference,
A1,0.0,-0.5,7.853981633974483,null_constraint_error,3.065422915504712e-12,3.06467351496309e-12,7.494005416219807e-16,0.0002444688913335778,1e-07,PASS,archived CSV versus independent_reference,
A1,0.0,-0.5,7.853981633974483,launch_direction_difference,0.0,6.12851804055038e-12,6.12851804055038e-12,6.12851804055038e-12,1e-07,PASS,angle-to-unit-vector comparison,invariant to equivalent angle branches
A2,0.0,-0.6666666666666666,3.141592653589793,r_emit,12.0,12.0,0.0,0.0,1e-07,PASS,archived CSV versus independent_reference,
A2,0.0,-0.6666666666666666,3.141592653589793,p_r_emit,0.0,0.0,0.0,0.0,1e-07,PASS,archived CSV versus independent_reference,
A2,0.0,-0.6666666666666666,3.141592653589793,t_emit,0.0,0.0,0.0,0.0,1e-07,PASS,archived CSV versus independent_reference,
A2,0.0,-0.6666666666666666,3.141592653589793,tau_emit,0.0,0.0,0.0,0.0,1e-07,PASS,archived CSV versus independent_reference,
A2,0.0,-0.6666666666666666,3.141592653589793,emitter_energy,0.9563650695950076,0.9563650695950076,0.0,0.0,1e-07,PASS,archived CSV versus independent_reference,
A2,0.0,-0.6666666666666666,3.141592653589793,emitter_angular_momentum,3.7481702853265464,3.7481702853265455,8.881784197001252e-16,2.3696319859777817e-16,1e-07,PASS,archived CSV versus independent_reference,
A2,0.0,-0.6666666666666666,3.141592653589793,alpha_launch,2.939190288802952,2.9391902888030303,7.815970093361102e-14,2.6592256116034306e-14,1e-07,PASS,archived CSV versus independent_reference,raw launch angles have equivalent periodic parameterizations
A2,0.0,-0.6666666666666666,3.141592653589793,beta_launch,-1.5797983004071954,-1.5797983004072007,5.329070518200751e-15,3.3732600654318705e-15,1e-07,PASS,archived CSV versus independent_reference,raw launch angles have equivalent periodic parameterizations
A2,0.0,-0.6666666666666666,3.141592653589793,x_hit,-6.326217327767836e-12,-5.895284260759581e-12,4.309330670082545e-13,0.06811859989645762,1e-07,PASS,archived CSV versus independent_reference,
A2,0.0,-0.6666666666666666,3.141592653589793,y_hit,1.3594472769717925e-12,1.3294296219434898e-12,3.001765502830267e-14,0.022080779105437508,1e-07,PASS,archived CSV versus independent_reference,
A2,0.0,-0.6666666666666666,3.141592653589793,z_hit,-79.99999999999999,-80.0,1.4210854715202004e-14,1.7763568394002506e-16,1e-07,PASS,archived CSV versus independent_reference,
A2,0.0,-0.6666666666666666,3.141592653589793,hit_error,6.470635407517259e-12,6.043323558677001e-12,4.273118488402576e-13,0.06603862247343255,1e-07,PASS,archived CSV versus independent_reference,
A2,0.0,-0.6666666666666666,3.141592653589793,impact_parameter,10.384586688878427,10.384586688878384,4.263256414560601e-14,4.10536937317536e-15,1e-07,PASS,archived CSV versus independent_reference,
A2,0.0,-0.6666666666666666,3.141592653589793,impact_parameter_drift,1.3447021274259896e-12,1.3411494137471889e-12,3.552713678800703e-15,0.002642007926023928,1e-07,PASS,archived CSV versus independent_reference,
A2,0.0,-0.6666666666666666,3.141592653589793,alpha_sky,-0.12660224057859387,-0.1266022405785931,7.771561172376096e-16,6.138565270929435e-15,1e-07,PASS,archived CSV versus independent_reference,
A2,0.0,-0.6666666666666666,3.141592653589793,beta_sky,0.02598034205396479,0.0259803420539647,9.020562075079397e-17,3.4720720983359003e-15,1e-07,PASS,archived CSV versus independent_reference,
A2,0.0,-0.6666666666666666,3.141592653589793,propagation_time,77.06548026348193,77.06548026348186,7.105427357601002e-14,9.219987124336345e-16,1e-07,PASS,archived CSV versus independent_reference,
A2,0.0,-0.6666666666666666,3.141592653589793,euclidean_distance,72.89414068670325,72.89414068670325,0.0,0.0,1e-07,PASS,archived CSV versus independent_reference,
A2,0.0,-0.6666666666666666,3.141592653589793,excess_time_delay,4.171339576778678,4.171339576778607,7.105427357601002e-14,1.703392214135723e-14,1e-07,PASS,archived CSV versus independent_reference,
A2,0.0,-0.6666666666666666,3.141592653589793,one_plus_z,1.029302599817455,1.0293025998174556,6.661338147750939e-16,6.471700497921905e-16,1e-07,PASS,archived CSV versus independent_reference,
A2,0.0,-0.6666666666666666,3.141592653589793,redshift,0.029302599817454977,0.0293025998174556,6.210310043996969e-16,2.1193716880703123e-14,1e-07,PASS,archived CSV versus independent_reference,
A2,0.0,-0.6666666666666666,3.141592653589793,null_constraint_error,1.143092565047965e-12,1.1434082847205929e-12,3.157196726277789e-16,0.00027612155416989063,1e-07,PASS,archived CSV versus independent_reference,
A2,0.0,-0.6666666666666666,3.141592653589793,launch_direction_difference,0.0,5.3750571755155316e-15,5.3750571755155316e-15,5.3750571755155316e-15,1e-07,PASS,angle-to-unit-vector comparison,invariant to equivalent angle branches
A2,0.0,-0.6666666666666666,4.71238898038469,r_emit,10.751456069158118,10.751456069120858,3.7260861063259654e-11,3.4656571931821443e-12,1e-07,PASS,archived CSV versus independent_reference,
A2,0.0,-0.6666666666666666,4.71238898038469,p_r_emit,-0.051068421733491756,-0.0510684217332436,2.481556626854342e-13,4.8592780873564466e-12,1e-07,PASS,archived CSV versus independent_reference,
A2,0.0,-0.6666666666666666,4.71238898038469,t_emit,64.70293858369108,64.70293858360098,9.00968188943807e-11,1.3924687327430035e-12,1e-07,PASS,archived CSV versus independent_reference,
A2,0.0,-0.6666666666666666,4.71238898038469,tau_emit,55.94793919768013,55.94793919759458,8.554934538551606e-11,1.5290884099098927e-12,1e-07,PASS,archived CSV versus independent_reference,
A2,0.0,-0.6666666666666666,4.71238898038469,emitter_energy,0.9563650695950076,0.9563650695950076,0.0,0.0,1e-07,PASS,archived CSV versus independent_reference,
A2,0.0,-0.6666666666666666,4.71238898038469,emitter_angular_momentum,3.7481702853265464,3.7481702853265455,8.881784197001252e-16,2.3696319859777817e-16,1e-07,PASS,archived CSV versus independent_reference,
A2,0.0,-0.6666666666666666,4.71238898038469,alpha_launch,-2.0376910587300983,1.1039015945200348,3.1415926532501333,1.5417413939127718,1e-07,WARNING,archived CSV versus independent_reference,raw launch angles have equivalent periodic parameterizations
A2,0.0,-0.6666666666666666,4.71238898038469,beta_launch,-1.5197459113957428,-1.6218467421890774,0.10210083079333465,0.0629534395189059,1e-07,WARNING,archived CSV versus independent_reference,raw launch angles have equivalent periodic parameterizations
A2,0.0,-0.6666666666666666,4.71238898038469,x_hit,-1.3072876114961218e-12,-1.029593771351145e-09,1.0282864837396488e-09,0.9987302879564038,1e-07,PASS,archived CSV versus independent_reference,
A2,0.0,-0.6666666666666666,4.71238898038469,y_hit,-4.312106227644108e-13,1.0942479145015227e-09,1.0946791251242871e-09,1.0003940703172012,1e-07,PASS,archived CSV versus independent_reference,
A2,0.0,-0.6666666666666666,4.71238898038469,z_hit,-79.99999999999999,-79.99999999999999,0.0,0.0,1e-07,PASS,archived CSV versus independent_reference,
A2,0.0,-0.6666666666666666,4.71238898038469,hit_error,1.376569468045876e-12,1.5024785630404202e-09,1.5011019935723744e-09,0.9990838009260776,1e-07,PASS,archived CSV versus independent_reference,
A2,0.0,-0.6666666666666666,4.71238898038469,impact_parameter,11.303157963613643,11.303157963596718,1.6925127965805586e-11,1.4973804683867824e-12,1e-07,PASS,archived CSV versus independent_reference,
A2,0.0,-0.6666666666666666,4.71238898038469,impact_parameter_drift,1.2594369991347776e-12,1.2683187833317788e-12,8.881784197001252e-15,0.0070028011204481795,1e-07,PASS,archived CSV versus independent_reference,
A2,0.0,-0.6666666666666666,4.71238898038469,alpha_sky,0.06341679399341572,0.0634167939926243,7.914224831040428e-13,1.247969872438226e-11,1e-07,PASS,archived CSV versus independent_reference,
A2,0.0,-0.6666666666666666,4.71238898038469,beta_sky,0.12581061718446598,0.1258106171846247,1.5870638137016613e-13,1.2614704936807323e-12,1e-07,PASS,archived CSV versus independent_reference,
A2,0.0,-0.6666666666666666,4.71238898038469,propagation_time,82.08564380443772,82.08564380452532,8.759570846450515e-11,1.06712580184059e-12,1e-07,PASS,archived CSV versus independent_reference,
A2,0.0,-0.6666666666666666,4.71238898038469,euclidean_distance,77.46951566128668,77.46951566129303,6.352252057695296e-12,8.199679581666913e-14,1e-07,PASS,archived CSV versus independent_reference,
A2,0.0,-0.6666666666666666,4.71238898038469,excess_time_delay,4.616128143151045,4.616128143232288,8.124345640680986e-11,1.7599913582538e-11,1e-07,PASS,archived CSV versus independent_reference,
A2,0.0,-0.6666666666666666,4.71238898038469,one_plus_z,1.4191505631310626,1.4191505631280437,3.0189184485607257e-12,2.127271430523979e-12,1e-07,PASS,archived CSV versus independent_reference,
A2,0.0,-0.6666666666666666,4.71238898038469,redshift,0.4191505631310626,0.4191505631280436,3.018973959711957e-12,7.202600271272845e-12,1e-07,PASS,archived CSV versus independent_reference,
A2,0.0,-0.6666666666666666,4.71238898038469,null_constraint_error,1.1910125663483484e-12,1.195599175218831e-12,4.586608870482678e-15,0.003836242919491132,1e-07,PASS,archived CSV versus independent_reference,
A2,0.0,-0.6666666666666666,4.71238898038469,launch_direction_difference,0.0,1.803159520712231e-11,1.803159520712231e-11,1.803159520712231e-11,1e-07,PASS,angle-to-unit-vector comparison,invariant to equivalent angle branches
A2,0.0,-0.6666666666666666,6.283185307179586,r_emit,8.905258956685069,8.905258956681742,3.327116360196669e-12,3.7361253349056667e-13,1e-07,PASS,archived CSV versus independent_reference,
A2,0.0,-0.6666666666666666,6.283185307179586,p_r_emit,-0.05553878844845753,-0.0555387884495113,1.0537751227168712e-12,1.8973678615168703e-11,1e-07,PASS,archived CSV versus independent_reference,
A2,0.0,-0.6666666666666666,6.283185307179586,t_emit,112.97576216180532,112.97576216197912,1.737987531669205e-10,1.5383720352135032e-12,1e-07,PASS,archived CSV versus independent_reference,
A2,0.0,-0.6666666666666666,6.283185307179586,tau_emit,96.11997530098226,96.11997530113874,1.5647572126908926e-10,1.6279209475331137e-12,1e-07,PASS,archived CSV versus independent_reference,
A2,0.0,-0.6666666666666666,6.283185307179586,emitter_energy,0.9563650695950076,0.9563650695950076,0.0,0.0,1e-07,PASS,archived CSV versus independent_reference,
A2,0.0,-0.6666666666666666,6.283185307179586,emitter_angular_momentum,3.7481702853265464,3.7481702853265455,8.881784197001252e-16,2.3696319859777817e-16,1e-07,PASS,archived CSV versus independent_reference,
A2,0.0,-0.6666666666666666,6.283185307179586,alpha_launch,-3.3439950183767166,-0.2024023647869232,3.1415926535897936,0.9394728868689596,1e-07,WARNING,archived CSV versus independent_reference,raw launch angles have equivalent periodic parameterizations
A2,0.0,-0.6666666666666666,6.283185307179586,beta_launch,-1.282265330555011,-1.8593273230349536,0.5770619924799427,0.31036062630328726,1e-07,WARNING,archived CSV versus independent_reference,raw launch angles have equivalent periodic parameterizations
A2,0.0,-0.6666666666666666,6.283185307179586,x_hit,4.0190073491430667e-14,-7.444045380111676e-14,1.1463052729254741e-13,1.5398956002982847,1e-07,PASS,archived CSV versus independent_reference,
A2,0.0,-0.6666666666666666,6.283185307179586,y_hit,-1.3183898417423734e-15,1.314226505400029e-14,1.4460654895742664e-14,1.1003167898627244,1e-07,PASS,archived CSV versus independent_reference,
A2,0.0,-0.6666666666666666,6.283185307179586,z_hit,-80.0,-79.99999999999999,1.4210854715202004e-14,1.7763568394002506e-16,1e-07,PASS,archived CSV versus independent_reference,
A2,0.0,-0.6666666666666666,6.283185307179586,hit_error,4.021169181993475e-14,7.559166814448399e-14,3.5379976324549236e-14,0.46804068745942806,1e-07,PASS,archived CSV versus independent_reference,
A2,0.0,-0.6666666666666666,6.283185307179586,impact_parameter,9.454482803966867,9.45448280396447,2.396305376350938e-12,2.5345705587887977e-13,1e-07,PASS,archived CSV versus independent_reference,
